gene_id	kegg_pathway_id	kegg_pathway_name
OsMH63_01G000020	osa03010	Ribosome - Oryza sativa japonica (Japanese rice)
OsMH63_01G000040	osa00600	Sphingolipid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G000040	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G000070	osa00600	Sphingolipid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G000070	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G000100	osa00270	Cysteine and methionine metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G000100	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G000100	osa03013	Nucleocytoplasmic transport - Oryza sativa japonica (Japanese rice)
OsMH63_01G000110	osa03013	Nucleocytoplasmic transport - Oryza sativa japonica (Japanese rice)
OsMH63_01G000160	osa00562	Inositol phosphate metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G000160	osa00564	Glycerophospholipid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G000160	osa00565	Ether lipid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G000160	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G000160	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G000210	osa04141	Protein processing in endoplasmic reticulum - Oryza sativa japonica (Japanese rice)
OsMH63_01G000230	osa04144	Endocytosis - Oryza sativa japonica (Japanese rice)
OsMH63_01G000250	osa00100	Steroid biosynthesis - Oryza sativa japonica (Japanese rice)
OsMH63_01G000250	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G000250	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G000280	osa04141	Protein processing in endoplasmic reticulum - Oryza sativa japonica (Japanese rice)
OsMH63_01G000290	osa03420	Nucleotide excision repair - Oryza sativa japonica (Japanese rice)
OsMH63_01G000320	osa04144	Endocytosis - Oryza sativa japonica (Japanese rice)
OsMH63_01G000350	osa00100	Steroid biosynthesis - Oryza sativa japonica (Japanese rice)
OsMH63_01G000350	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G000350	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G000360	osa04120	Ubiquitin mediated proteolysis - Oryza sativa japonica (Japanese rice)
OsMH63_01G000460	osa04120	Ubiquitin mediated proteolysis - Oryza sativa japonica (Japanese rice)
OsMH63_01G000500	osa03420	Nucleotide excision repair - Oryza sativa japonica (Japanese rice)
OsMH63_01G000500	osa04120	Ubiquitin mediated proteolysis - Oryza sativa japonica (Japanese rice)
OsMH63_01G000500	osa04141	Protein processing in endoplasmic reticulum - Oryza sativa japonica (Japanese rice)
OsMH63_01G000510	osa00900	Terpenoid backbone biosynthesis - Oryza sativa japonica (Japanese rice)
OsMH63_01G000510	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G000510	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G000520	osa04146	Peroxisome - Oryza sativa japonica (Japanese rice)
OsMH63_01G000580	osa03440	Homologous recombination - Oryza sativa japonica (Japanese rice)
OsMH63_01G000610	osa03420	Nucleotide excision repair - Oryza sativa japonica (Japanese rice)
OsMH63_01G000610	osa04120	Ubiquitin mediated proteolysis - Oryza sativa japonica (Japanese rice)
OsMH63_01G000610	osa04141	Protein processing in endoplasmic reticulum - Oryza sativa japonica (Japanese rice)
OsMH63_01G000640	osa00900	Terpenoid backbone biosynthesis - Oryza sativa japonica (Japanese rice)
OsMH63_01G000640	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G000640	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G000760	osa00071	Fatty acid degradation - Oryza sativa japonica (Japanese rice)
OsMH63_01G000760	osa00280	Valine, leucine and isoleucine degradation - Oryza sativa japonica (Japanese rice)
OsMH63_01G000760	osa00310	Lysine degradation - Oryza sativa japonica (Japanese rice)
OsMH63_01G000760	osa00380	Tryptophan metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G000760	osa00620	Pyruvate metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G000760	osa00630	Glyoxylate and dicarboxylate metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G000760	osa00650	Butanoate metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G000760	osa00900	Terpenoid backbone biosynthesis - Oryza sativa japonica (Japanese rice)
OsMH63_01G000760	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
