gene_id	DS_osbzip23_rep1	DS_osbzip23_rep2	DS_WT_rep1	DS_WT_rep2	N_WT_rep1	N_WT_rep2	RE_WT_rep1	RE_WT_rep2
OsMH_01G0000100	826	1017	4351	4420	3432	3307	2693	2457
OsMH_01G0000200	375	482	2795	3157	2156	1993	1278	1159
OsMH_01G0000300	104	231	0	3	0	7	0	6
OsMH_01G0000600	0	4	42	56	36	57	36	36
OsMH_01G0000900	12	35	739	817	1597	1437	3214	2989
OsMH_01G0001100	32	124	629	663	1091	1045	950	1089
OsMH_01G0001000	45	66	712	742	560	444	356	333
OsMH_01G0000500	0	0	5667	5495	5997	5650	4541	4738
OsMH_01G0000400	1633	2553	2	0	0	0	0	0
OsMH_01G0001600	11	33	53	66	546	438	102	142
OsMH_01G0001800	5	0	5299	5044	7192	6957	6026	6656
OsMH_01G0001400	701	890	1170	1236	4268	3845	3342	3418
OsMH_01G0001500	120	108	2211	2472	1481	1394	1190	1243
OsMH_01G0001900	4	6	92	116	13	13	15	17
OsMH_01G0002000	5	0	769	849	733	666	415	386
OsMH_01G0002100	80	89	706	757	5200	4854	3712	4164
OsMH_01G0002200	12	22	3109	3132	3085	2739	2005	2130
OsMH_01G0002300	239	386	1267	1258	1411	1287	940	897
OsMH_01G0002400	13	45	12	25	11	12	3	4
OsMH_01G0002500	210	377	1893	1965	1059	1084	1538	1499
OsMH_01G0002600	499	469	396	505	272	252	364	312
OsMH_01G0002800	43	54	1795	2165	1018	882	1112	1285
OsMH_01G0002900	1126	1210	590	636	139	93	82	94
OsMH_01G0003000	388	236	1340	1479	878	822	773	752
OsMH_01G0003100	436	364	681	650	832	795	583	462
OsMH_01G0003300	0	1	1	1	1	1	1	1
OsMH_01G0003200	115	116	19	21	28	55	21	29
OsMH_01G0003400	163	163	1757	1768	1515	1405	1086	1144
OsMH_01G0003800	2	0	4643	4540	4768	4228	3852	4209
OsMH_01G0003700	1746	1951	43	30	69	45	0	6
OsMH_01G0003500	13	28	13237	14329	7462	6230	6173	6614
OsMH_01G0003600	499	599	1775	1901	4679	4470	2691	3062
OsMH_01G0004000	327	326	266	390	321	252	308	321
OsMH_01G0004500	173	349	1649	1534	734	703	235	240
OsMH_01G0004100	4091	3851	49	25	52	79	21	33
OsMH_01G0004700	28	59	465	546	326	300	303	301
OsMH_01G0004600	465	571	30	36	1331	1258	2686	2840
OsMH_01G0005000	78	62	4860	5160	2489	2523	2130	2404
OsMH_01G0005100	7	70	121	150	1762	1433	3509	3378
OsMH_01G0005200	1679	1977	309	265	108	89	52	54
OsMH_01G0005300	23	31	176	164	169	110	167	236
OsMH_01G0005400	136	179	3029	2714	2071	2141	1194	1250
OsMH_01G0005500	129	96	5595	5673	19050	16842	15897	15646
OsMH_01G0005600	59	87	3196	3146	1915	1897	1419	1584
OsMH_01G0005700	117	58	900	907	384	450	321	327
OsMH_01G0005800	277	705	145	213	273	244	292	332
OsMH_01G0006000	528	1083	10	7	121	85	127	102
OsMH_01G0005900	1327	1202	204	218	612	575	853	889
OsMH_01G0006100	544	757	4261	4328	3759	3356	2755	3247
OsMH_01G0006400	24	46	299	302	568	543	644	639
OsMH_01G0006700	0	12	8	8	6	4	7	4
OsMH_01G0006800	41	49	1930	2084	1736	1621	1479	1430
OsMH_01G0007000	771	1227	100	72	69	26	38	55
OsMH_01G0007100	130	232	0	0	0	0	0	0
OsMH_01G0007200	0	0	0	0	0	0	0	0
OsMH_01G0007500	2	0	0	0	29	27	28	31
OsMH_01G0007600	0	0	188	181	207	165	177	202
OsMH_01G0007900	262	612	4702	4583	5047	4795	3998	4012
OsMH_01G0008100	0	7	0	0	0	0	0	0
OsMH_01G0006600	17	22	7	12	60	69	146	187
OsMH_01G0006900	2358	2752	0	0	0	0	0	0
OsMH_01G0007300	3	0	5149	5123	3459	3311	1960	2097
OsMH_01G0007400	256	285	0	0	0	0	0	0
OsMH_01G0007700	8	28	20	31	65	42	17	20
OsMH_01G0007800	13	27	0	0	0	0	0	0
OsMH_01G0008000	1	0	0	0	0	0	0	0
OsMH_01G0008200	5	6	12263	13453	2486	2449	2064	2215
OsMH_01G0008400	49	83	378	336	366	332	360	387
OsMH_01G0008700	25	27	0	0	0	0	0	0
OsMH_01G0008300	3208	5216	9087	9052	5131	4760	3563	3757
OsMH_01G0008900	92	108	365	432	331	368	376	551
OsMH_01G0009000	25	39	8	0	6	13	0	6
OsMH_01G0009100	14	6	565	610	1096	962	627	715
OsMH_01G0009200	2	0	314	293	364	346	294	310
OsMH_01G0008800	2523	3287	76	73	76	76	64	47
OsMH_01G0009400	29	27	2	4	0	0	4	4
OsMH_01G0009300	1320	1893	12472	12186	11514	10700	8751	9094
OsMH_01G0010000	44	42	359	263	418	303	268	310
OsMH_01G0009500	0	0	343	462	212	193	229	276
OsMH_01G0009600	0	0	0	0	0	0	0	0
OsMH_01G0009700	0	0	0	0	0	0	0	0
OsMH_01G0009800	0	0	0	0	0	0	0	0
OsMH_01G0009900	31	9	0	0	8	4	11	8
OsMH_01G0010900	5	5	0	1	0	0	0	0
OsMH_01G0011600	68	117	0	16	47	17	12	22
OsMH_01G0011700	0	3	0	0	0	0	0	1
OsMH_01G0010200	0	0	0	0	0	0	0	0
OsMH_01G0010500	0	0	0	0	0	0	0	0
OsMH_01G0010100	46	48	0	0	0	0	0	0
OsMH_01G0010300	88	44	0	0	0	0	0	0
OsMH_01G0010400	188	281	0	0	0	0	0	0
OsMH_01G0010600	8	40	0	0	0	0	0	0
OsMH_01G0010700	3450	3154	15	34	14	13	15	2
OsMH_01G0020900	4	5	0	0	2	1	3	2
OsMH_01G0012000	0	0	0	0	0	0	0	0
OsMH_01G0012400	158	198	95	104	205	192	254	241
OsMH_01G0012600	0	5	0	2	0	2	0	0
OsMH_01G0012700	0	2	0	4	3	2	0	2
OsMH_01G0012800	0	0	42	35	110	77	122	127
OsMH_01G0012900	0	0	381	292	1355	1190	1728	1965
OsMH_01G0013000	0	0	545	639	4168	3462	5664	5312
OsMH_01G0013100	0	22	170	192	125	84	38	24
OsMH_01G0013300	0	0	1237	1264	1067	949	583	575
OsMH_01G0013500	0	0	4669	4592	1967	1604	1673	1757
OsMH_01G0013600	0	4	12	13	6	7	1	4
OsMH_01G0013700	0	0	7	0	0	0	0	0
OsMH_01G0013800	0	0	81	75	29	22	15	25
OsMH_01G0014100	0	2	68	89	224	238	135	146
OsMH_01G0014200	0	0	88	101	88	44	62	86
OsMH_01G0014300	0	0	153	173	128	84	103	99
OsMH_01G0014400	0	0	31	18	59	37	37	54
OsMH_01G0014500	0	14	13	18	0	10	0	10
OsMH_01G0014700	0	0	26	34	233	211	67	67
OsMH_01G0014800	0	0	2314	2248	5237	4989	3455	3462
OsMH_01G0014900	0	1	0	29	90	0	87	47
OsMH_01G0015000	0	3	0	27	0	63	55	61
OsMH_01G0015100	0	0	0	2	0	0	0	0
OsMH_01G0015200	0	0	0	0	1	2	0	0
OsMH_01G0015300	0	0	0	0	0	0	0	0
OsMH_01G0015400	0	0	0	0	0	0	0	0
OsMH_01G0015500	0	0	189	154	586	660	351	418
OsMH_01G0015800	0	1	0	0	0	0	0	0
OsMH_01G0015900	0	0	0	0	0	0	0	0
OsMH_01G0016400	0	0	0	0	0	2	0	0
OsMH_01G0016500	0	0	0	0	0	0	0	0
OsMH_01G0016600	0	2	0	0	0	0	0	0
OsMH_01G0016700	0	0	1296	1315	3223	3013	1089	1317
OsMH_01G0017000	84	116	39	26	44	69	23	31
OsMH_01G0017100	2479	2771	1	0	1	1	0	1
OsMH_01G0017300	12	22	22	27	78	54	52	50
OsMH_01G0017500	0	0	9	15	20	23	16	24
OsMH_01G0017600	0	0	3	0	2	8	11	2
OsMH_01G0018000	25	34	2	0	0	0	0	2
OsMH_01G0018200	0	0	41	43	95	86	62	46
OsMH_01G0018400	0	0	77	130	146	153	142	136
OsMH_01G0018700	0	0	31	35	227	230	59	117
